timestamp,TA,HR,WD,WS,RG,RN,TX,TN,RG_SD,RN_SD,station,WD_STR
2020-05-27 00:00:00+00:00,12.3975,33.74583333333333,151.53208333333333,1.3416666666666668,229.16566294421668,455.8710416535113,15.54,9.65,323.08229138447183,402.6220798083266,La Paloma ZA,SE
2020-05-28 00:00:00+00:00,9.782916666666669,53.8125,198.22625,1.24375,227.85019681427025,598.4659827643551,12.19,7.06,321.6012652009484,528.2887157251217,La Paloma ZA,S
2020-05-29 00:00:00+00:00,8.519166666666667,60.85833333333333,76.51416666666667,2.095833333333333,226.5843168218846,592.5557271561619,9.57,6.32,320.1774448100819,465.683922363397,La Paloma ZA,E
2020-05-30 00:00:00+00:00,6.625416666666666,71.04583333333333,194.77,1.0229166666666667,225.3686025794096,537.9968738262887,9.84,4.72,318.8114402926055,416.4214233858444,La Paloma ZA,S
2020-05-31 00:00:00+00:00,5.982083333333333,63.35833333333333,172.88833333333332,0.9958333333333336,224.20359445807185,468.510507734567,9.42,3.42,317.50381880550555,343.00096592253647,La Paloma ZA,S
2020-06-01 00:00:00+00:00,6.0008333333333335,51.7375,173.10166666666666,1.450416666666667,223.0897883940106,368.64660557385815,9.38,3.55,316.2550994521838,245.1706884530421,La Paloma ZA,S
2020-06-02 00:00:00+00:00,6.4732,38.66,68.76639999999999,2.5964,213.14577583667065,131.30117097503106,9.77,4.87,311.6113916895867,216.3911618853487,La Paloma ZA,E
2020-06-03 00:00:00+00:00,1.0516666666666663,77.83749999999999,151.01250000000002,2.2445833333333334,221.0167519099032,12.141028234643096,4.37,-1.05,313.9353617144116,219.752213519692,La Paloma ZA,SE
2020-06-04 00:00:00+00:00,0.52375,51.28333333333333,160.69125,1.2458333333333331,220.05907831525644,-91.33095195859418,4.75,-2.28,312.8659816908865,321.7163186091007,La Paloma ZA,S
2020-06-05 00:00:00+00:00,3.36125,39.24166666666667,159.0920833333333,0.9241666666666668,219.15417218400583,-85.2415860974956,8.75,-0.36,311.85713268201187,275.8709500525658,La Paloma ZA,S
2020-06-06 00:00:00+00:00,7.089166666666666,23.745833333333334,136.54583333333332,1.7591666666666663,218.3023618944533,-220.91704174694416,11.85,4.15,310.9091550637648,475.9761937520474,La Paloma ZA,SE
2020-06-07 00:00:00+00:00,5.420833333333333,31.70833333333333,153.38,1.7375,217.50396705773343,-186.0341657021089,8.7,3.01,310.02237973832536,361.6825302423094,La Paloma ZA,SE
2020-06-08 00:00:00+00:00,4.03375,35.5375,124.36958333333332,1.5483333333333331,216.7592986684168,-194.48545862606875,7.52,1.26,309.1971277742015,403.6584028657788,La Paloma ZA,SE
2020-06-09 00:00:00+00:00,5.085,30.95833333333333,152.84041666666667,1.5691666666666666,216.06865501106367,-279.4824821655945,8.19,2.06,308.4337053678935,495.3815866474499,La Paloma ZA,SE
2020-06-10 00:00:00+00:00,4.707916666666667,25.34166666666667,143.24125,2.06375,215.43231647872489,-384.51166374613473,8.91,1.47,307.7323976461605,602.7350633775714,La Paloma ZA,SE
2020-06-11 00:00:00+00:00,3.335833333333333,42.17916666666667,164.3525,1.975833333333333,214.8505417788999,-129.78247995526002,5.57,0.35,307.09346413024605,338.6729477925141,La Paloma ZA,S
2020-06-12 00:00:00+00:00,1.3884,78.268,90.4896,2.7944,205.75514506487613,184.08020246547355,3.74,-0.45,303.11463022531524,277.649706833709,La Paloma ZA,E
2020-06-13 00:00:00+00:00,5.7804166666666665,23.141666666666666,97.65833333333336,3.1333333333333333,213.8563051982165,-79.77838175282157,13.95,-0.15,306.008649908672,470.560865202597,La Paloma ZA,E
2020-06-14 00:00:00+00:00,9.373333333333331,31.916666666666668,96.24291666666666,2.76625,213.43953086240776,308.49153200409825,14.1,6.86,305.55811188334184,591.9853998065107,La Paloma ZA,E
2020-06-15 00:00:00+00:00,6.067916666666666,36.675,172.18166666666664,1.7875,213.0781140087461,302.80906462321144,8.5,3.78,305.17070089772204,204.6700423032833,La Paloma ZA,S
2020-06-16 00:00:00+00:00,3.955416666666667,70.35833333333333,172.17791666666665,1.075416666666667,212.7718166804635,298.0200075098059,6.35,2.36,304.8461305338713,274.4445147810252,La Paloma ZA,S
2020-06-17 00:00:00+00:00,1.9141666666666663,88.075,151.62458333333333,1.755,212.52112107678985,334.8848574563228,4.96,-0.11,304.5848825593132,255.75465968895253,La Paloma ZA,SE
2020-06-18 00:00:00+00:00,4.1658333333333335,50.275,73.485,3.3395833333333336,212.32610965538296,-0.540561178417614,9.15,-0.19,304.38700755299743,380.189931943,La Paloma ZA,E
2020-06-19 00:00:00+00:00,5.121666666666667,51.57083333333333,141.93791666666667,2.82375,212.18683871425532,38.91418809787477,7.92,2.58,304.2525243006865,230.7065586230524,La Paloma ZA,SE
2020-06-20 00:00:00+00:00,5.632916666666667,50.37916666666666,143.03416666666666,1.945,212.10333892132184,61.6481895093018,7.7,3.73,304.181419884733,181.31812282454317,La Paloma ZA,SE
2020-06-21 00:00:00+00:00,6.189166666666666,54.54166666666666,102.06875,1.94875,212.0756168087584,520.0990979087733,10.48,2.43,304.1736509022755,702.4406827175932,La Paloma ZA,E
